,fs,rand,method
0,0.6497291807764586,0.8881784597897131,Louvain
1,0.6404451501088888,0.8835654068390641,Louvain
2,0.671520742675213,0.89309462915601,Louvain
3,0.6358322681668589,0.8839253575826467,Louvain
4,0.6512356219926064,0.8878469262100974,Louvain
5,0.6512356219926064,0.8878469262100974,Louvain
6,0.640492524613571,0.8849294307094817,Louvain
7,0.65996356400979,0.8893056739604055,Louvain
8,0.6512356219926064,0.8878469262100974,Louvain
9,0.6472801957571291,0.8872880553187457,Louvain
10,0.6488206152690909,0.8869849389030973,Louvain
11,0.6444386727243319,0.8854693568248555,Louvain
12,0.6512356219926064,0.8878469262100974,Louvain
13,0.6525765830410452,0.8885289381453065,Louvain
14,0.6367542602199969,0.884910485933504,Louvain
15,0.6497291807764586,0.8881784597897131,Louvain
16,0.6488206152690909,0.8869849389030973,Louvain
17,0.671520742675213,0.89309462915601,Louvain
18,0.6420905198141569,0.8859808657762622,Louvain
19,0.6358322681668589,0.8839253575826467,Louvain
20,0.6420409258391695,0.8845978971298663,Louvain
21,0.6377038839601302,0.88446528369802,Louvain
22,0.6512356219926064,0.8878469262100974,Louvain
23,0.6832952231094475,0.8918726911054278,Louvain
24,0.6497291807764586,0.8881784597897131,Louvain
25,0.644505109051411,0.8868428530832624,Louvain
26,0.6496588137526071,0.8868049635313062,Louvain
27,0.6536261300026264,0.8902150232073505,Louvain
28,0.6488206152690909,0.8869849389030973,Louvain
29,0.6497291807764586,0.8881784597897131,Louvain
30,0.6512356219926064,0.8878469262100974,Louvain
31,0.6377038839601302,0.88446528369802,Louvain
32,0.6363374052356375,0.8850336269773611,Louvain
33,0.6512356219926064,0.8878469262100974,Louvain
34,0.6488206152690909,0.8869849389030973,Louvain
35,0.6512356219926064,0.8878469262100974,Louvain
36,0.6512356219926064,0.8878469262100974,Louvain
37,0.6381198398695358,0.8847589277256798,Louvain
38,0.6531708139061714,0.8869281045751634,Louvain
39,0.6512356219926064,0.8878469262100974,Louvain
40,0.6512356219926064,0.8878469262100974,Louvain
41,0.6377038839601302,0.88446528369802,Louvain
42,0.6420409258391695,0.8845978971298663,Louvain
43,0.6508420783014977,0.8849389030974708,Louvain
44,0.6832952231094475,0.8918726911054278,Louvain
