,fs,rand,method
0,0.4518598173878908,0.8613111479494653,louvain
1,0.3909171999451264,0.8217069428856789,louvain
2,0.4456598440259843,0.8509282235561826,louvain
3,0.4568521207294887,0.8731994110439556,louvain
4,0.4653083824485022,0.8763460013797222,louvain
5,0.4590872881998721,0.8803739664954027,louvain
6,0.4560910031525292,0.8825156248391184,louvain
7,0.4622700154429966,0.8819349059420725,louvain
8,0.434135939846948,0.8464513339030695,louvain
9,0.4363345574825162,0.8503166153561021,louvain
10,0.44342303893507146,0.8592539203673768,louvain
11,0.4729308942227359,0.8755984802462908,louvain
12,0.42220199801692926,0.8443796913128985,louvain
13,0.46147967320609073,0.8816692579359768,louvain
14,0.4283943562522951,0.8553701053325233,louvain
15,0.46224084158771817,0.8776865971314134,louvain
16,0.4720444775408502,0.8738748571369734,louvain
17,0.46569113028497944,0.8712575035265289,louvain
18,0.47411184287614416,0.8749127377189281,louvain
19,0.43536948270295844,0.8568939776155517,louvain
20,0.45133801228821985,0.8553062674395857,louvain
21,0.4607407649767492,0.8853347885627207,louvain
22,0.47051602602278075,0.8744308645915919,louvain
23,0.4407815408020761,0.8417808712842743,louvain
24,0.4627432444015306,0.8801103777761761,louvain
25,0.473128801731467,0.8741816908804483,louvain
26,0.46228222910940014,0.8773921191091525,louvain
27,0.414517315851713,0.8406441449326099,louvain
28,0.47238492687403033,0.8634713398750014,louvain
29,0.4488077002085819,0.8840497935564915,louvain
30,0.4547032465694317,0.8709753812254817,louvain
31,0.47693215002633343,0.8643630110892597,louvain
32,0.46320755396284,0.87052439740118,louvain
33,0.458254753773052,0.8721883011912976,louvain
34,0.4570521041844,0.8847396546575921,louvain
35,0.3782239771273024,0.821741950762451,louvain
36,0.48204730152531267,0.901378692558767,louvain
37,0.4709770351034756,0.879066319333615,louvain
38,0.4678765286662522,0.8787368334345818,louvain
39,0.46772480466750743,0.8784547111335346,louvain
40,0.46263048503776344,0.877363289092987,louvain
41,0.46583371644087257,0.8740231257915385,louvain
42,0.4622704308330184,0.88316430020284,louvain
43,0.47156681571057596,0.8766672501312796,louvain
44,0.41961968523546056,0.8480575776608561,louvain
45,0.4676065844569733,0.8766569536969349,louvain
46,0.4681375120045594,0.8761421319796956,louvain
47,0.46921636500983155,0.8783702803719071,louvain
48,0.44172254071843287,0.85399450170406,louvain
49,0.47136132755246185,0.8765231000504525,louvain
50,0.45821297995611265,0.8703864251809599,louvain
51,0.4692820348932407,0.8788459756386364,louvain
52,0.41663193511190505,0.8468137683920058,louvain
53,0.4100886605030486,0.853269632726187,louvain
54,0.47252926998328026,0.8868463051245354,louvain
55,0.46166318986873495,0.8781952409880458,louvain
56,0.4645868223414981,0.8776351149596897,louvain
57,0.46551408432117747,0.8819307873683344,louvain
58,0.4709652193534894,0.8750383542179345,louvain
59,0.4695507180059527,0.8770358624808228,louvain
60,0.4447386715269287,0.8462103973394013,louvain
61,0.44058315614721366,0.843140000617786,louvain
62,0.4416251868735914,0.8399954695688885,louvain
63,0.4624389207580934,0.8820234552774375,louvain
64,0.43393292629845126,0.8539512566798118,louvain
65,0.45834253021926114,0.8943194571719812,louvain
66,0.4511626147378048,0.8544290112334099,louvain
67,0.47447469304981565,0.8746615047209152,louvain
68,0.4674926045182089,0.8742455287733859,louvain
69,0.475188425988807,0.87433613739562,louvain
70,0.464121583591444,0.8767908073434172,louvain
71,0.4721259187381286,0.8776392335334273,louvain
72,0.4551816734390207,0.8838438648695959,louvain
73,0.43400619507551436,0.8463051245353737,louvain
74,0.4568480795521111,0.8790024814406772,louvain
75,0.39006933956029666,0.8202983906673118,louvain
76,0.4657833540091293,0.8752257493230096,louvain
77,0.456279165968781,0.8699375006435273,louvain
78,0.42554603651652567,0.8458644371454167,louvain
79,0.4740891896750371,0.8753884329856572,louvain
80,0.42773129691345363,0.8370692229280998,louvain
81,0.46049755662259917,0.876453084296908,louvain
82,0.4664354132265159,0.8792290029962624,louvain
83,0.4708268291752995,0.8757323338927729,louvain
84,0.47216850195714744,0.8692496988292955,louvain
85,0.45773373854215826,0.8881601301469302,louvain
86,0.4373579163090009,0.8522811750290875,louvain
87,0.4515495162311711,0.8575344158317977,louvain
88,0.4636055143788669,0.8780284387516604,louvain
89,0.46460392323185085,0.8729049330216947,louvain
90,0.4706074086214294,0.8766631315575417,louvain
91,0.4634466060092547,0.8750630656603617,louvain
92,0.4642204516180462,0.8873302375387406,louvain
93,0.42710873237910923,0.8453125482645361,louvain
94,0.48259986875528804,0.9042143305773211,louvain
95,0.45194874701038484,0.8823282297340431,louvain
96,0.45102068985902877,0.8760638790786752,louvain
97,0.4634145045698574,0.8835267346917763,louvain
98,0.4816220355099021,0.9039836904479979,louvain
99,0.46352551430495204,0.8703287651486291,louvain
