,nmi,rand,sj,fs,method
0,1.0,1.0,0.0,1.0,Louvain
1,1.0,1.0,0.0,1.0,Directed Louvain
2,0.9851901024190353,0.9956236236236236,58.0,0.9649531359050145,Leiden
3,1.0,1.0,0.0,1.0,Infomap
4,1.0,1.0,0.0,1.0,Oslom
5,1.0,1.0,0.0,1.0,Louvain
6,0.9934763854348051,0.9979479479479479,25.0,0.9842247018083878,Directed Louvain
7,0.9972652326040162,0.9996996996996997,4.0,0.9961079364447022,Leiden
8,1.0,1.0,0.0,1.0,Infomap
9,1.0,1.0,0.0,1.0,Oslom
10,1.0,1.0,0.0,1.0,Louvain
11,1.0,1.0,0.0,1.0,Directed Louvain
12,0.990697991794834,0.9976356356356357,29.0,0.9803266336203663,Leiden
13,1.0,1.0,0.0,1.0,Infomap
14,1.0,1.0,0.0,1.0,Oslom
15,1.0,1.0,0.0,1.0,Louvain
16,1.0,1.0,0.0,1.0,Directed Louvain
17,0.9900284076666056,0.9972072072072072,33.0,0.9784878003527663,Leiden
18,1.0,1.0,0.0,1.0,Infomap
19,1.0,1.0,0.0,1.0,Oslom
20,0.9933965303217515,0.9978358358358358,23.0,0.9843149204138191,Louvain
21,1.0,1.0,0.0,1.0,Directed Louvain
22,0.9863733934681994,0.9963543543543543,58.0,0.9677619854607307,Leiden
23,1.0,1.0,0.0,1.0,Infomap
24,1.0,1.0,0.0,1.0,Oslom
25,1.0,1.0,0.0,1.0,Louvain
26,1.0,1.0,0.0,1.0,Directed Louvain
27,0.9893969339204183,0.9967927927927926,37.0,0.9768859580141548,Leiden
28,1.0,1.0,0.0,1.0,Infomap
29,1.0,1.0,0.0,1.0,Oslom
30,1.0,1.0,0.0,1.0,Louvain
31,1.0,1.0,0.0,1.0,Directed Louvain
32,0.9856585405810383,0.9959159159159159,56.0,0.9661789078809373,Leiden
33,1.0,1.0,0.0,1.0,Infomap
34,1.0,1.0,0.0,1.0,Oslom
35,1.0,1.0,0.0,1.0,Louvain
36,1.0,1.0,0.0,1.0,Directed Louvain
37,0.9986138141107862,0.9998418418418418,2.0,0.9980499999690755,Leiden
38,1.0,1.0,0.0,1.0,Infomap
39,1.0,1.0,0.0,1.0,Oslom
40,1.0,1.0,0.0,1.0,Louvain
41,0.992763928308493,0.9975035035035035,29.0,0.9823753056407503,Directed Louvain
42,0.9835006157784034,0.9952672672672671,61.0,0.9622351684948193,Leiden
43,1.0,1.0,0.0,1.0,Infomap
44,1.0,1.0,0.0,1.0,Oslom
45,1.0,1.0,0.0,1.0,Louvain
46,0.9933362878485534,0.9978478478478479,25.0,0.9839372431826671,Directed Louvain
47,0.991099902533009,0.9971731731731731,33.0,0.9797055941633057,Leiden
48,1.0,1.0,0.0,1.0,Infomap
49,1.0,1.0,0.0,1.0,Oslom
50,0.9919948481384471,0.996986986986987,35.0,0.9803255114713381,Louvain
51,1.0,1.0,0.0,1.0,Directed Louvain
52,0.9823656879747943,0.9944804804804805,64.0,0.9595755873219385,Leiden
53,1.0,1.0,0.0,1.0,Infomap
54,1.0,1.0,0.0,1.0,Oslom
55,1.0,1.0,0.0,1.0,Louvain
56,1.0,1.0,0.0,1.0,Directed Louvain
57,0.9847256759158061,0.9952972972972972,57.0,0.9640304344004371,Leiden
58,1.0,1.0,0.0,1.0,Infomap
59,1.0,1.0,0.0,1.0,Oslom
60,0.993644245514724,0.99802002002002,23.0,0.9847871898601777,Louvain
61,0.9924967425303518,0.9973313313313313,31.0,0.9816560474493237,Directed Louvain
62,0.981392423388495,0.9953813813813813,62.0,0.9600489837526923,Leiden
63,1.0,1.0,0.0,1.0,Infomap
64,1.0,1.0,0.0,1.0,Oslom
65,1.0,1.0,0.0,1.0,Louvain
66,0.9934763854348051,0.9979479479479479,25.0,0.9842247018083878,Directed Louvain
67,0.9918703590880867,0.999129129129129,12.0,0.9883412700899316,Leiden
68,1.0,1.0,0.0,1.0,Infomap
69,1.0,1.0,0.0,1.0,Oslom
70,0.9934763854348051,0.9979479479479479,25.0,0.9842247018083878,Louvain
71,1.0,1.0,0.0,1.0,Directed Louvain
72,0.984234086010387,0.9956856856856857,56.0,0.964127490284766,Leiden
73,1.0,1.0,0.0,1.0,Infomap
74,1.0,1.0,0.0,1.0,Oslom
75,0.9934763854348051,0.9979479479479479,25.0,0.9842247018083878,Louvain
76,0.9933471336823996,0.9978918918918919,27.0,0.9837867799898379,Directed Louvain
77,0.9857745215902269,0.996016016016016,59.0,0.9662829023170744,Leiden
78,1.0,1.0,0.0,1.0,Infomap
79,1.0,1.0,0.0,1.0,Oslom
80,1.0,1.0,0.0,1.0,Louvain
81,1.0,1.0,0.0,1.0,Directed Louvain
82,0.9786177570264245,0.9935855855855855,77.0,0.9488907911359734,Leiden
83,1.0,1.0,0.0,1.0,Infomap
84,1.0,1.0,0.0,1.0,Oslom
85,0.9930433508259203,0.9976756756756757,27.0,0.9831345603509638,Louvain
86,1.0,1.0,0.0,1.0,Directed Louvain
87,0.9777053314692523,0.9937777777777778,83.0,0.9477495857768747,Leiden
88,1.0,1.0,0.0,1.0,Infomap
89,1.0,1.0,0.0,1.0,Oslom
90,1.0,1.0,0.0,1.0,Louvain
91,1.0,1.0,0.0,1.0,Directed Louvain
92,0.9920809366768836,0.9977897897897897,27.0,0.9822743911657543,Leiden
