,Directed Louvain,Leiden,Louvain,Infomap,Oslom
0,9.0,8.0,8.0,34.0,22.0
1,8.0,7.0,7.0,35.0,20.0
2,8.0,11.0,7.0,34.0,22.0
3,8.0,7.0,8.0,33.0,21.0
4,8.0,8.0,8.0,37.0,21.0
5,8.0,11.0,8.0,36.0,20.0
6,8.0,12.0,8.0,37.0,21.0
7,8.0,9.0,9.0,33.0,19.0
8,8.0,7.0,7.0,35.0,22.0
9,8.0,7.0,7.0,32.0,22.0
10,7.0,11.0,8.0,38.0,20.0
11,8.0,11.0,8.0,34.0,22.0
12,8.0,8.0,7.0,34.0,22.0
13,8.0,8.0,8.0,39.0,20.0
14,8.0,7.0,8.0,34.0,21.0
15,8.0,8.0,8.0,31.0,19.0
16,8.0,6.0,8.0,35.0,21.0
17,8.0,7.0,8.0,34.0,21.0
18,8.0,7.0,8.0,33.0,20.0
19,9.0,8.0,8.0,34.0,22.0
20,8.0,7.0,8.0,30.0,22.0
21,8.0,7.0,8.0,35.0,20.0
22,9.0,10.0,8.0,33.0,19.0
23,8.0,7.0,7.0,34.0,21.0
24,7.0,10.0,9.0,34.0,21.0
25,8.0,7.0,8.0,32.0,21.0
26,8.0,8.0,8.0,32.0,23.0
27,8.0,8.0,7.0,33.0,22.0
28,8.0,7.0,8.0,34.0,22.0
29,8.0,8.0,8.0,33.0,22.0
30,8.0,6.0,8.0,33.0,21.0
31,8.0,7.0,8.0,35.0,20.0
32,8.0,7.0,8.0,32.0,20.0
33,9.0,9.0,8.0,33.0,21.0
34,9.0,11.0,8.0,34.0,22.0
35,9.0,10.0,6.0,31.0,22.0
36,8.0,8.0,9.0,31.0,21.0
37,9.0,8.0,8.0,39.0,20.0
38,8.0,8.0,8.0,34.0,20.0
39,7.0,7.0,8.0,36.0,23.0
40,8.0,9.0,8.0,37.0,22.0
41,8.0,8.0,8.0,34.0,20.0
42,8.0,11.0,8.0,33.0,20.0
43,8.0,8.0,8.0,33.0,23.0
44,8.0,7.0,7.0,31.0,21.0
45,8.0,7.0,8.0,30.0,21.0
46,8.0,8.0,8.0,39.0,22.0
47,8.0,7.0,8.0,34.0,23.0
48,8.0,8.0,8.0,33.0,23.0
49,8.0,8.0,8.0,31.0,23.0
50,8.0,8.0,8.0,32.0,23.0
51,8.0,8.0,8.0,32.0,20.0
52,8.0,10.0,7.0,38.0,20.0
53,8.0,8.0,8.0,32.0,20.0
54,8.0,8.0,9.0,32.0,20.0
55,8.0,8.0,8.0,45.0,20.0
56,9.0,11.0,8.0,38.0,20.0
57,8.0,10.0,8.0,34.0,21.0
58,8.0,8.0,8.0,36.0,20.0
59,8.0,8.0,8.0,33.0,20.0
60,8.0,8.0,8.0,32.0,22.0
61,8.0,9.0,7.0,35.0,20.0
62,7.0,8.0,7.0,34.0,21.0
63,8.0,8.0,8.0,36.0,21.0
64,8.0,10.0,7.0,33.0,21.0
65,9.0,8.0,8.0,33.0,19.0
66,9.0,11.0,8.0,34.0,22.0
67,8.0,10.0,8.0,28.0,21.0
68,7.0,10.0,8.0,35.0,20.0
69,8.0,7.0,8.0,32.0,21.0
70,9.0,10.0,8.0,33.0,21.0
71,8.0,11.0,8.0,35.0,20.0
72,9.0,6.0,8.0,31.0,20.0
73,8.0,11.0,8.0,32.0,21.0
74,8.0,8.0,8.0,36.0,21.0
75,8.0,10.0,8.0,31.0,19.0
76,8.0,7.0,8.0,34.0,22.0
77,7.0,8.0,8.0,31.0,20.0
78,8.0,11.0,7.0,28.0,20.0
79,8.0,8.0,8.0,40.0,21.0
80,8.0,8.0,7.0,34.0,20.0
81,8.0,11.0,8.0,33.0,21.0
82,8.0,7.0,8.0,32.0,21.0
83,9.0,7.0,8.0,34.0,20.0
84,8.0,8.0,9.0,32.0,21.0
85,8.0,8.0,8.0,36.0,21.0
86,8.0,7.0,8.0,31.0,21.0
87,8.0,7.0,8.0,35.0,21.0
88,8.0,8.0,8.0,40.0,20.0
89,8.0,8.0,8.0,35.0,19.0
90,7.0,7.0,8.0,32.0,21.0
91,7.0,7.0,8.0,34.0,22.0
92,8.0,10.0,8.0,37.0,21.0
93,8.0,8.0,7.0,39.0,22.0
94,8.0,8.0,9.0,35.0,22.0
95,8.0,8.0,8.0,33.0,21.0
96,8.0,10.0,8.0,36.0,22.0
97,8.0,8.0,8.0,33.0,20.0
98,8.0,10.0,9.0,33.0,23.0
99,8.0,7.0,8.0,33.0,23.0
