,Directed Louvain,Leiden,Louvain,Infomap,Oslom
0,107.0,105.0,111.0,163.0,163.0
1,109.0,104.0,109.0,163.0,163.0
2,105.0,108.0,110.0,163.0,163.0
3,109.0,105.0,111.0,163.0,163.0
4,109.0,102.0,110.0,163.0,163.0
5,109.0,102.0,109.0,163.0,163.0
6,107.0,104.0,105.0,163.0,163.0
7,108.0,104.0,113.0,163.0,163.0
8,108.0,108.0,108.0,163.0,163.0
9,105.0,104.0,112.0,163.0,163.0
10,109.0,103.0,111.0,163.0,163.0
11,111.0,107.0,109.0,163.0,163.0
12,108.0,109.0,106.0,163.0,163.0
13,108.0,104.0,109.0,163.0,163.0
14,106.0,109.0,111.0,163.0,163.0
15,107.0,101.0,109.0,163.0,163.0
16,109.0,107.0,106.0,163.0,163.0
17,108.0,107.0,111.0,163.0,163.0
18,108.0,102.0,109.0,163.0,163.0
19,109.0,104.0,111.0,163.0,163.0
20,110.0,105.0,112.0,163.0,163.0
21,110.0,101.0,109.0,163.0,163.0
22,110.0,108.0,107.0,163.0,163.0
23,110.0,104.0,111.0,163.0,163.0
24,107.0,107.0,110.0,163.0,163.0
25,106.0,103.0,111.0,163.0,163.0
26,110.0,105.0,109.0,163.0,163.0
27,108.0,106.0,110.0,163.0,163.0
28,107.0,101.0,108.0,163.0,163.0
29,109.0,105.0,112.0,163.0,163.0
30,108.0,98.0,110.0,163.0,163.0
31,111.0,105.0,110.0,163.0,163.0
32,106.0,106.0,111.0,163.0,163.0
33,107.0,104.0,109.0,163.0,163.0
34,109.0,105.0,112.0,163.0,163.0
35,109.0,106.0,110.0,163.0,163.0
36,106.0,106.0,112.0,163.0,163.0
37,110.0,106.0,109.0,163.0,163.0
38,111.0,108.0,114.0,163.0,163.0
39,108.0,99.0,108.0,163.0,163.0
40,109.0,108.0,109.0,163.0,163.0
41,109.0,103.0,109.0,163.0,163.0
42,108.0,105.0,111.0,163.0,163.0
43,109.0,103.0,110.0,163.0,163.0
44,109.0,101.0,111.0,163.0,163.0
45,108.0,99.0,110.0,163.0,163.0
46,109.0,105.0,111.0,163.0,163.0
47,110.0,105.0,109.0,163.0,163.0
48,107.0,104.0,108.0,163.0,163.0
49,108.0,109.0,109.0,163.0,163.0
50,109.0,105.0,112.0,163.0,163.0
51,109.0,102.0,109.0,163.0,163.0
52,106.0,105.0,111.0,163.0,163.0
53,107.0,99.0,108.0,163.0,163.0
54,108.0,101.0,111.0,163.0,163.0
55,108.0,108.0,110.0,163.0,163.0
56,109.0,104.0,111.0,163.0,163.0
57,109.0,104.0,110.0,163.0,163.0
58,110.0,108.0,110.0,163.0,163.0
59,109.0,100.0,106.0,163.0,163.0
60,109.0,106.0,111.0,163.0,163.0
61,108.0,106.0,110.0,163.0,163.0
62,110.0,106.0,112.0,163.0,163.0
63,109.0,104.0,107.0,163.0,163.0
64,109.0,107.0,108.0,163.0,163.0
65,110.0,106.0,109.0,163.0,163.0
66,108.0,103.0,111.0,163.0,163.0
67,109.0,106.0,110.0,163.0,163.0
68,105.0,108.0,108.0,163.0,163.0
69,108.0,101.0,106.0,163.0,163.0
70,108.0,101.0,111.0,163.0,163.0
71,107.0,98.0,110.0,163.0,163.0
72,106.0,105.0,111.0,163.0,163.0
73,107.0,104.0,110.0,163.0,163.0
74,109.0,106.0,110.0,163.0,163.0
75,111.0,98.0,110.0,163.0,163.0
76,108.0,106.0,111.0,163.0,163.0
77,107.0,105.0,111.0,163.0,163.0
78,109.0,104.0,107.0,163.0,163.0
79,107.0,103.0,108.0,163.0,163.0
80,109.0,105.0,109.0,163.0,163.0
81,109.0,106.0,112.0,163.0,163.0
82,107.0,107.0,111.0,163.0,163.0
83,108.0,103.0,109.0,163.0,163.0
84,107.0,104.0,108.0,163.0,163.0
85,111.0,108.0,110.0,163.0,163.0
86,109.0,108.0,105.0,163.0,163.0
87,109.0,103.0,109.0,163.0,163.0
88,107.0,101.0,111.0,163.0,163.0
89,108.0,105.0,106.0,163.0,163.0
90,107.0,102.0,111.0,163.0,163.0
91,108.0,100.0,109.0,163.0,163.0
92,107.0,97.0,110.0,163.0,163.0
93,108.0,102.0,108.0,163.0,163.0
94,107.0,105.0,113.0,163.0,163.0
95,107.0,105.0,108.0,163.0,163.0
96,110.0,107.0,110.0,163.0,163.0
97,109.0,101.0,107.0,163.0,163.0
98,106.0,102.0,107.0,163.0,163.0
99,106.0,102.0,111.0,163.0,163.0
