,Directed Louvain,Leiden,Louvain,Infomap,Oslom
0,15.0,15.0,15.0,50.0,17.0
1,15.0,15.0,15.0,50.0,18.0
2,15.0,14.0,15.0,50.0,17.0
3,14.0,13.0,15.0,50.0,19.0
4,15.0,15.0,15.0,49.0,16.0
5,15.0,13.0,15.0,50.0,20.0
6,15.0,14.0,15.0,49.0,19.0
7,15.0,15.0,15.0,50.0,20.0
8,15.0,14.0,15.0,51.0,19.0
9,15.0,15.0,15.0,51.0,18.0
10,15.0,14.0,15.0,48.0,15.0
11,15.0,14.0,15.0,51.0,19.0
12,15.0,13.0,15.0,49.0,16.0
13,15.0,14.0,14.0,50.0,18.0
14,15.0,15.0,14.0,51.0,18.0
15,15.0,15.0,15.0,50.0,19.0
16,15.0,14.0,15.0,50.0,18.0
17,15.0,14.0,15.0,49.0,18.0
18,15.0,13.0,15.0,49.0,18.0
19,15.0,13.0,15.0,50.0,19.0
20,15.0,14.0,15.0,50.0,18.0
21,15.0,14.0,15.0,49.0,20.0
22,15.0,15.0,15.0,49.0,17.0
23,15.0,14.0,14.0,50.0,19.0
24,15.0,15.0,15.0,52.0,17.0
25,15.0,14.0,15.0,49.0,18.0
26,15.0,15.0,15.0,50.0,18.0
27,15.0,14.0,15.0,52.0,20.0
28,15.0,14.0,15.0,50.0,18.0
29,15.0,15.0,15.0,49.0,15.0
30,15.0,15.0,15.0,51.0,19.0
31,15.0,12.0,15.0,51.0,17.0
32,15.0,14.0,15.0,49.0,18.0
33,15.0,14.0,15.0,50.0,19.0
34,15.0,15.0,15.0,50.0,17.0
35,15.0,15.0,15.0,50.0,18.0
36,15.0,15.0,15.0,50.0,17.0
37,15.0,15.0,15.0,49.0,20.0
38,15.0,13.0,15.0,50.0,19.0
39,15.0,14.0,15.0,49.0,18.0
40,15.0,15.0,15.0,51.0,18.0
41,15.0,14.0,15.0,51.0,16.0
42,15.0,15.0,15.0,49.0,19.0
43,15.0,13.0,15.0,50.0,16.0
44,15.0,14.0,14.0,51.0,16.0
45,15.0,15.0,15.0,49.0,17.0
46,15.0,14.0,15.0,50.0,21.0
47,15.0,14.0,15.0,51.0,17.0
48,15.0,14.0,15.0,50.0,20.0
49,15.0,15.0,15.0,51.0,19.0
50,15.0,12.0,14.0,50.0,16.0
51,14.0,14.0,15.0,50.0,20.0
52,15.0,15.0,15.0,50.0,18.0
53,15.0,15.0,15.0,51.0,18.0
54,15.0,14.0,15.0,50.0,18.0
55,15.0,14.0,15.0,51.0,14.0
56,15.0,15.0,15.0,49.0,16.0
57,15.0,15.0,15.0,50.0,21.0
58,15.0,15.0,15.0,50.0,17.0
59,15.0,14.0,15.0,50.0,19.0
60,15.0,15.0,15.0,50.0,21.0
61,15.0,15.0,15.0,49.0,16.0
62,15.0,14.0,15.0,50.0,19.0
63,15.0,14.0,15.0,50.0,17.0
64,15.0,14.0,15.0,49.0,18.0
65,15.0,14.0,15.0,50.0,16.0
66,15.0,14.0,15.0,49.0,17.0
67,15.0,14.0,15.0,49.0,19.0
68,15.0,15.0,15.0,50.0,18.0
69,15.0,13.0,15.0,49.0,18.0
70,15.0,15.0,15.0,50.0,18.0
71,15.0,14.0,15.0,50.0,17.0
72,15.0,15.0,15.0,50.0,19.0
73,15.0,15.0,15.0,49.0,18.0
74,15.0,13.0,15.0,50.0,20.0
75,15.0,15.0,15.0,51.0,20.0
76,15.0,15.0,15.0,50.0,18.0
77,15.0,15.0,14.0,49.0,19.0
78,15.0,15.0,15.0,50.0,16.0
79,15.0,13.0,15.0,50.0,19.0
80,16.0,13.0,15.0,50.0,18.0
81,15.0,14.0,15.0,50.0,16.0
82,15.0,15.0,15.0,51.0,18.0
83,15.0,15.0,15.0,49.0,21.0
84,15.0,14.0,15.0,50.0,18.0
85,15.0,15.0,15.0,49.0,17.0
86,15.0,15.0,15.0,49.0,21.0
87,15.0,15.0,15.0,49.0,20.0
88,15.0,14.0,15.0,49.0,17.0
89,15.0,15.0,15.0,51.0,18.0
90,15.0,15.0,15.0,50.0,19.0
91,15.0,14.0,15.0,51.0,19.0
92,15.0,14.0,15.0,51.0,21.0
93,15.0,15.0,15.0,50.0,16.0
94,15.0,13.0,15.0,51.0,19.0
95,15.0,15.0,15.0,50.0,17.0
96,15.0,15.0,15.0,52.0,20.0
97,15.0,14.0,15.0,50.0,18.0
98,15.0,14.0,15.0,51.0,19.0
99,15.0,14.0,15.0,51.0,18.0
